term,type,franchise,role,action,suggested,count,first_chapter
Kaleidoscope,glossary,Fate/Type-Moon,Protagonist's dimension-sight power (also the story title),replace,Prism-sight / the Strata,1,0
Holy Grail,glossary,Fate,Wish-granter relic,replace,world-binding relic,1,0
Grail War,glossary,Fate,Faction war over the relic,replace,relic-war,1,0
Fuyuki,glossary,Fate,City of the Grail War,replace,[re-skin needed],1,0
Chaldea,glossary,Fate/Grand Order,Organization / school,replace,The Archive,1,0
Souna Shitori,glossary,High School DxD,Student council president,replace,Mara Vey,1,0
Sitri,glossary,High School DxD,Her devil house,replace,[re-skin needed],1,0
Kuoh Academy,glossary,High School DxD,The school,replace,Cinderhall Academy,1,0
Kuoh,glossary,High School DxD,The town,replace,Aurel,1,0
Hyoudou Issei,glossary,High School DxD,Canon perverted protagonist ('the Idiot'),replace,[DROP],1,0
Issei,glossary,High School DxD,Canon protagonist short name,replace,[DROP],1,0
Yasaka,glossary,High School DxD,Youkai (fox) leader,replace,Sana Rill,1,0
Roman Torchwick,glossary,RWBY,Trickster thief,replace,Tom Pike,1,0
Salem,glossary,RWBY,Immortal antagonist,replace,the Unmaking,1,0
Jinn,glossary,RWBY,Wish-granting spirit,replace,Nell,1,0
Meridia,glossary,Elder Scrolls,Light Daedric prince,replace,Ruth Bell,1,0
Shimoda,unknown,,,review,,3,-1
